Start Latitude,Start Longitude,End Latitude,End Longitude,Transect number,CTD #/flow File,Depth (m),Total bacteria/mL,Active bacteria/mL,Dead bacteria/mL,Protozoa/mL,Phytoplankton/mL,,,,,,integrated Phytoplankton/mL
-61.99966,45.00095,-62.0083,45.00739,12,CTD20 syto13.002,50.63,130642.8009,46702.00205,75028.8303,622.2626335,10495.49642,,,,,,
-61.99966,45.00095,-62.0083,45.00739,12,CTD20 syto13.003,79.07,111269.8366,25765.78846,68351.83056,79.36103152,2325.518711,,,,,,
-61.99966,45.00095,-62.0083,45.00739,12,CTD20 syto13.004,111.37,87067.66554,22169.7191,42857.74008,26.5424479,278.695703,,,,,,15096.1107
-62.00013,39.99926,-61.99473,40.00518,12,CTD22 syto13.001,10.599,204239.8378,27037.78066,128873.3967,26.5424479,278.695703,,,,,,
-62.00013,39.99926,-61.99473,40.00518,12,CTD22 syto13.002,18.69,182434.7638,27581.12013,120075.793,,,,,,,,
-62.00013,39.99926,-61.99473,40.00518,12,CTD22 syto13.003,55.09,197035.8656,40813.06236,95552.71852,134.1143122,1790.941892,,,,,,
-62.00013,39.99926,-61.99473,40.00518,12,CTD22 syto13.004,70.129,177821.7172,24645.50413,106965.8981,,,,,,,,2069.637595
-62.0003,34.99843,-62.00673,34.98738,12,CTD24 syto13.001,11.117,176224.0069,53777.00397,77171.76398,126.8018098,951.0135732,,,,,,
-62.0003,34.99843,-62.00673,34.98738,12,CTD24 syto13.002,61.56,342044.25,56695.70345,121494.1134,86.67774544,1480.846552,,,,,,
-62.0003,34.99843,-62.00673,34.98738,12,CTD24 syto13.003,70.274,297514.3416,45533.87909,214536.7245,55.5063121,1607.160037,,,,,,
-62.0003,34.99843,-62.00673,34.98738,12,CTD24 syto13.004,125.186,160951.9691,20742.34079,64795.29049,22.74703476,285.6016586,,,,,,4324.621821
-62.00009,30.00073,-62.00498,30.01684,12,CTD26 syto13.001,9.361,188021.7442,25490.50471,93737.88028,,,,,,,,
-62.00009,30.00073,-62.00498,30.01684,12,CTD26 syto13.002,51.34,290660.1814,32075.53704,143758.5885,,,,,,,,
-62.00009,30.00073,-62.00498,30.01684,12,CTD26 syto13.003,71.146,214688.5502,26110.11662,82182.06777,48.36149317,949.4124711,,,,,,
-62.00009,30.00073,-62.00498,30.01684,12,CTD26 syto13.004,108.056,229055.5996,23234.77993,74792.36682,,,,,,,,949.4124711
-63.33179,30.01036,-63.33164,30.04304,1,CTD28 syto13.001,8.322,280468.9845,106914.1667,270722.5481,238.4148021,2372.70411,,,,,,
-63.33179,30.01036,-63.33164,30.04304,1,CTD28 syto13.002,40.782,339962.0247,83991.52222,180391.42,238.0333384,5502.041437,,,,,,
-63.33179,30.01036,-63.33164,30.04304,1,CTD28 syto13.003,69.592,#VALUE!,43143.3563,57060.36412,71.66701427,1782.119755,,,,,,
-63.33179,30.01036,-63.33164,30.04304,1,CTD28 syto13.004,109.06,181909.3612,27666.44128,104404.0166,68.29052365,715.0419535,,,,,,10371.90726
-64.66625,30.00359,-64.66748,29.99942,1,CTD30 syto13.001,10.22,175431.8297,35987.68373,61350.59311,132.3068639,1840.79115,,,,,,
-64.66625,30.00359,-64.66748,29.99942,1,CTD30 syto13.002,39.96,196846.0239,35002.62871,80315.44944,159.7908985,2929.499805,,,,,,
-64.66625,30.00359,-64.66748,29.99942,1,CTD30 syto13.003,59.57,294041.0484,51675.85625,120000.7413,73.52341954,1761.621132,,,,,,
-64.66625,30.00359,-64.66748,29.99942,1,CTD30 syto13.004,79.75,238583.8737,#DIV/0!,144379.3,37.22648997,1001.196651,,,,,,7533.108739
-65.99964,29.99997,-65.99322,29.98963,1,CTD32 syto13.001,10.23,209086.0967,49174.10526,111748.5357,,,,,,,,
-65.99964,29.99997,-65.99322,29.98963,1,CTD32 syto13.002,25.497,236310.3835,53545.78125,91127.25,,,,,,,,
-65.99964,29.99997,-65.99322,29.98963,1,CTD32 syto13.003,76.542,357662.2227,73464.05598,170678.3718,12.79878556,840.0657429,,,,,,
-65.99964,29.99997,-65.99322,29.98963,1,CTD32 syto13.004,100.962,173557.4692,37024.01348,101566.5285,,,,,,,,840.0657429
-66.99975,29.99904,-66.99792,29.98542,1,CTD34 syto13.001,10.403,96944.20513,38479.23913,30477.45704,231.3057062,1885.644344,,,,,,
-66.99975,29.99904,-66.99792,29.98542,1,CTD34 syto13.002,19.823,190595.7361,17890.81267,46133.42267,169.6439566,2176.454852,,,,,,
-66.99975,29.99904,-66.99792,29.98542,1,CTD34 syto13.003,70.504,192124.5838,34257.52889,67989.63556,10.033382,117.0561233,,,,,,
-66.99975,29.99904,-66.99792,29.98542,1,CTD34 syto13.004,110.815,76849.5,8626.487002,40821.93307,17.88704087,237.8976436,,,,,,4417.052963
-67.99727,30.01426,-67.99882,30.00953,1,CTD36 syto13.001,9.298,156918.0738,29670.50467,54016.67995,,,,,,,,
-67.99727,30.01426,-67.99882,30.00953,1,CTD36 syto13.002,17.501,133082.0447,34508.00234,62780.36318,,,,,,,,
-67.99727,30.01426,-67.99882,30.00953,1,CTD36 syto13.003,35.76,248069.6916,53520.93925,112420.5187,,,,,,,,
-67.99727,30.01426,-67.99882,30.00953,1,CTD36 syto13.004,50.237,255252.2019,38177.31088,111951.7362,,,,,,,,0
