OTUNumber,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,Size,OSD1,OSD10,OSD100_1m_depth,OSD100_20m_depth,OSD101,OSD50,OSD99
Otu02445,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,59,0,0,0,0,0,0,0
Otu02447,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,59,0,11,0,0,0,0,0
Otu02638,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_reinhardtii,51,0,51,0,0,0,0,0
Otu02698,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,50,0,0,0,0,0,0,0
Otu02704,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,49,0,11,0,0,0,0,0
Otu02716,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Scenedesmus,Scenedesmus_armatus,49,0,3,0,0,0,0,0
Otu02836,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,45,0,0,0,0,0,0,0
Otu02869,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pediastrum,Pediastrum_duplex,44,0,43,0,0,0,0,0
Otu02914,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,43,0,0,0,0,0,0,0
Otu02942,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Rhopalosolen,Rhopalosolen_saccatus,42,0,42,0,0,0,0,0
Otu03061,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Mychonastes,Mychonastes_sp.,39,0,0,0,0,0,0,0
Otu03083,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,39,0,0,0,0,0,0,0
Otu03149,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_kuwadae,37,0,0,0,0,0,0,0
Otu03400,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,32,0,2,0,0,0,0,0
Otu03726,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlorococcum,Chlorococcum_sp.,27,0,20,0,0,0,0,0
Otu03732,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,27,0,0,0,0,0,0,0
Otu04229,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,21,0,0,0,0,0,0,0
Otu04548,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,19,0,0,0,0,0,0,0
Otu04557,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,18,0,0,0,0,0,0,0
Otu04569,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,18,0,17,0,0,0,0,0
Otu05045,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_noctigama,15,0,0,0,0,0,0,0
Otu05386,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,13,0,0,0,0,0,0,0
Otu05561,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,13,0,0,0,0,0,0,0
Otu05682,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,12,0,12,0,0,0,0,0
Otu05957,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_reinhardtii,11,0,11,0,0,0,0,0
Otu06221,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,10,0,0,0,0,0,0,0
Otu06316,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_parkeae,10,0,0,0,0,0,0,0
Otu06383,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,10,0,2,0,0,0,0,0
Otu06444,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,9,0,0,0,0,0,0,0
Otu06450,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,9,0,0,0,0,0,0,0
Otu06453,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,9,0,0,0,0,0,0,0
Otu06511,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Westella,Westella_botryoides,9,0,8,0,0,0,0,0
Otu06570,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Spermatozopsis,Spermatozopsis_exsultans,9,0,9,0,0,0,0,0
Otu06743,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,,9,0,0,0,0,0,0,0
Otu06947,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,8,0,0,0,0,0,0,0
Otu07042,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Pseudopediastrum,Pseudopediastrum_boryanum,8,0,5,0,0,0,0,0
Otu07233,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophorales_X,Stigeoclonium,Stigeoclonium_helveticum,8,0,0,0,0,0,0,0
Otu07271,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlorophyceae_unclassified,Chlorophyceae_unclassified,Chlorophyceae_unclassified,,8,0,0,0,0,0,0,0
Otu07335,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_sordida,7,0,0,0,0,0,0,0
Otu07582,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,,7,0,7,0,0,0,0,0
Otu08008,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,6,0,0,0,0,0,0,1
Otu08019,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Mychonastes,Mychonastes_sp.,6,0,0,0,0,0,0,0
Otu08126,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,6,0,0,0,0,0,0,0
Otu08373,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Sphaeropleales_X_unclassified,,6,0,0,0,0,0,0,0
Otu08957,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_raudensis,5,0,0,0,0,0,0,0
Otu09036,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonadales_X_unclassified,,5,0,0,0,0,0,0,0
